UPC,ASIN,Name,List Price,Model,MPN,Brand,Color,Sales Rank,Category,Pick & Pack,Weight Handling,Order Handling,30d Storage,VCF,FBA Fees,Referral,Width,Height,Length,Weight,Buy Box,FBA BB,New Offers,FBA Offers,AMZ on Listing
*046798162636,B001DRIGG4,Fish & Aquatic Supplies Aquasafe Pond 8.4Oz,7.35,,ATS16263,Mojetto,,477667,Lawn & Patio,1.06,0.96,1.00,0.01,0,3.03,0.15,3.5,1,6.9,0.75,17.78,Y,2,1,N
*046798162636,B0002APN1Y,"TetraPond AquaSafe, 8.4-Ounce, 250-Ml",15.39,16263,16263,Tetra Pond,,133057,Pet Products,1.06,2.34,1.00,0.01,0,4.41,0.15,3.4,1.1,7.5,2.45,5.71,N,24,0,Y
*046798162636,B00BS97CCQ,Tetra Pond #16263 8.4OZ Water Treatment,,,16263,United Pet Group,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,19.77,N,1,0,N
*046798162636,B0071DLFB2,"3 PACK AQUASAFE, Size: 8.4 OUNCE (Catalog Category: Pond:WATER TREATMENT AND ACC)",,,521190,United Pet Group,,,Lawn & Patio,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,3.8,34.61,N,1,0,N
*046798162636,B008G8GZ8O,TETRA POND AquaSafe Sold in packs of 12,,,16263,Tetra Pond,,,Home,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,97.54,N,1,0,N
*046798162650,B00LRK6Q1E,Tetracolor Tropical Flakes Fish Food [Set of 2] Size: 2.82 oz.,,,16265,Tetra,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*886827826968,B00025K0V2,"Tetra 16265 TetraColor Tropical Flakes, 2.82-Ounce, 500 ml",18.29,16265,16265,Tetra,,7766,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,2.8,1.8,5.6,0.02,6.99,N,23,0,Y
*046798162667,B000256412,"Tetra ReptoMin Sticks Reptile Food, 2.64-Pound",96.63,46798162667,46798162667,Tetra,green,2213,Pet Products,1.06,2.73,1.00,0.06,0,4.85,0.15,4.6,4.3,9.1,2.95,26.98,Y,20,2,Y
*046798162667,B004LOEKJI,Tetra USA Food Reptomin -- 2.5 lbs,28.99,,STS16266,Reptomin,,263406,Pet Products,1.06,2.73,1.00,0.10,0,4.89,0.15,8.8,3.7,10,2.85,30.78,N,2,0,N
*046798162667,B00S6D6D68,Reptomin Fish Food [Set of 3] Size: 40 oz.,,,16266,Tetra,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*046798162674,B0002563HW,"TetraPond AquaSafe, 16.9-Ounce, 500-Ml",26.69,16267,16267,Tetra Pond,,12435,Pet Products,1.06,1.95,1.00,0.02,0,4.03,0.15,3.6,1.8,7.9,0.95,6.99,N,28,0,Y
*046798162674,B00HM9A1BK,16.9OZ WTR Treatment (Pack of 6),77.94,,16267,Tetra Pond,,853391,Lawn & Patio,1.06,5.07,1.00,0.23,0,7.36,0.15,9,8,10,9,69.73,N,4,0,N
*046798162674,B006LSSAKM,16.9OZ WTR Treatment,19.99,,16267,Tetra Usa Inc.,,650722,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,31.75,N,2,0,N
*666674916018,B0002563HM,"Tetra 16268 AquaSafe Water Conditioner with BioExtract, 8.45-Ounce",6.59,16268,16268,Tetra,,3247,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,3,1.5,6.9,0.7,6.59,Y,23,2,Y
*046798162681,B007R5KYC0,Aquasafe Size: 8.40 oz.,5.5,BC519529,16268-03,United Pet Group,,396856,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,3,0.5,6.7,0.7,N/A,N,0,0,N
*780231475807,B001D71J5E,Aquasafe,10.75,,519529,Tetra,,705197,Pet Products,1.06,0.96,1.00,0.01,0,3.03,0.15,2.8,1,6.8,0.7,18.37,N,3,0,N
*046798162681,B00S4VYBRU,Tetra 16268 AquaSafe Water Conditioner With BioExtract,,,16268,Tetra,,224941,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*046798162766,B00S6D7S62,Aquasafe Water Conditioner - 1.69 oz. [Set of 4],,,16276,Tetra,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*046798162766,B000HHM4T6,"Tetra 16276 AquaSafe Water Conditioner with BioExtract, 1.69-Ounce",4.99,16276,16276,Tetra,,21385,Pet Products,1.06,0.50,1.00,0.00,0,2.56,0.15,1.6,0.4,3.5,0.05,4.81,Y,22,3,Y
*046798162766,B01CN8ZVS2,Tetra Aquasafe Plus 1.69oz 50ml,,,,Tetra Usa Inc.,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*046798162766,B00CJ27P4Q,Aquasafe,2.94,,16276,United Pet Group,,593867,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,8.25,N,5,0,N
*046798162841,B00S4W2N4C,Aquasafe Goldfish Water Conditioner - 3.38 oz. [Set of 3],,,16284,Tetra,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*634252024943,B000HHJJ76,"Tetra 16284 AquaSafe Water Conditioner for Goldfish, 3.38-Ounce, 100-Ml",6.99,16284,16284,Tetra,,9193,Pet Products,1.06,1.95,1.00,0.01,0,4.02,0.15,3.5,1.5,7.5,1.35,2.99,N,22,0,Y
*046798163091,B00LSP80R6,Spirulina Flakes Fish Food [Set of 2] Size: 5.65 oz.,,,16309,Tetra,,,Pet Products,N/A,N/A,N/A,N/A,N/A,N/A,0.15,0,0,0,0,N/A,N,0,0,N
*046798163091,B00B39PYOO,Spirulina Flakes,13.3,,16309,United Pet Group,,491867,Pet Products,1.06,2.73,1.00,0.05,0,4.84,0.15,4.9,3.4,8.8,3.56,N/A,N,0,0,N
*046798163091,B00025Z6QG,"Tetra 16309 TetraVeggie Flakes, 5.65-Ounce, 1-Liter",31.49,16309,16309,Tetra,,65061,Pet Products,1.06,0.96,1.00,0.03,0,3.05,0.15,3.75,3.4,7.1,0.02,N/A,N,1,0,N
