UPC,Cost
078565840676,2.117
078565841468,5.351
078565841635,1.793
078565841840,1.779
078565842366,1.602
078565842557,7.144
078565842588,11.187
078565842809,2.705
078565842908,7.144
078565842939,2.925
078565842946,5.63
078565842977,1.735
078565842984,1.014
078565843158,5.88
078565843189,21.874
078565843240,4.19
078565854307,2.924
078565854321,11.187
078565854550,3.998
078565854567,7.438
078565854574,14.127
078565854598,7.438
078565854604,14.127
078565854611,5.13
078565854628,9.731
078565854635,18.728
078565854734,2.778
078565854741,5.248
078565857933,5.586
078565858084,12.848
078565858114,4.366
078565858374,2.72
078565858381,4.807
078565858404,9.121
078565859609,1.367
078565859647,8.07
079105100274,1.795
079105100281,1.795
079105100298,1.795
079105100304,1.795
079105100311,1.795
079105101912,1.192
079105101929,1.192
079105101936,1.192
079105101943,1.192
079105102285,6.779
079105102292,12.623
079105102315,6.779
079105102322,12.623
079105102377,6.779
079105102384,12.623
079105102407,6.779
079105102414,12.623
079105102438,6.779
079105102445,12.623
079105102469,6.779
079105102476,12.623
079105102490,6.779
079105102506,12.623
079105103237,4.205
079105103589,10.79
079105103640,10.79
079105103671,11.611
079105103688,22.21
079105103732,10.79
079105103763,10.79
079105104111,4.205
079105104128,4.205
079105104135,4.205
079105104210,7.82
079105104449,7.82
079105104456,7.82
079105104463,7.82
079105104470,7.82
079105104487,7.82
079105104739,6.116
079105106986,3.667
079105106993,6.116
079105107990,6.116
079105108034,3.667
079105108881,11.611
079105108898,22.21
079105108904,11.611
079105108911,22.21
079105108928,11.611
079105108935,22.21
079105108942,11.611
079105108959,22.21
079105108997,3.667
079105109017,6.116
079105109024,6.116
079105110853,3.064
079105110860,3.064
079105110877,3.064
079105110884,3.064
079105110914,4.282
079105110921,4.282
079105110938,4.282
079105113427,3.526
079105113441,3.526
079105113458,3.526
079105113465,3.526
079105113557,1.5
079105113564,1.5
079105113588,1.5
079105113601,1.5
079105114929,0.898
079105114943,0.898
079105115001,0.898
079105115025,0.898
079105115124,0.898
079105115179,0.974
079105115186,0.974
079105115193,0.974
079105115209,0.974
079105115278,12.642
079105115308,12.211
079105115322,12.211
079105115339,12.369
079105115407,12.211
079105115421,12.211
079105115520,3.526
079105115537,4.141
079105115544,4.141
079105115599,1.615
079105115612,1.615
079105115636,1.615
079105115650,1.615
079105115674,1.615
079105115698,1.615
079105115711,1.615
079105115735,1.615
079105115759,1.615
079105115773,1.615
079105115797,1.615
079105115810,1.615
079105115834,1.615
079105115858,1.615
079105115872,1.615
079105115896,2.128
079105115919,2.128
079105115933,2.128
079105115957,0.885
079105115964,0.885
079105115971,0.885
079105115988,0.885
079105115995,0.885
079105116008,0.885
079105116015,0.885
079105116022,0.885
079105116039,0.885
079105116046,0.885
079105116053,0.885
079105116060,0.885
079105116077,0.885
079105116084,0.885
079105116107,0.885
079105116114,0.885
079105116169,10.565
079105116206,9.718
079105116244,9.718
079105116268,9.718
079105116329,9.718
079105116350,9.718
079105116466,8.706
079105116657,9.347
079105116664,17.629
079105116701,8.706
079105116725,9.347
079105116732,9.347
079105116749,17.629
079105116756,17.629
079105116763,9.347
079105116770,17.629
079105116787,8.706
079105116794,8.706
079105116893,12.642
079105117425,9.231
079105117432,9.231
079105117449,9.231
079105117456,9.231
079105117463,9.231
079105117470,9.231
079105117487,9.231
079105117500,10
079105117517,10
079105117524,10
079105117548,10
079105117555,16.347
079105117562,16.347
079105117579,16.347
079105117586,16.347
079105117593,16.347
079105117609,16.347
079105117616,16.347
079105117630,17.77
079105117647,17.77
079105117654,17.77
079105117678,17.77
079105117722,12.211
079105117739,12.211
079105117746,12.211
079105117784,1.167
079105117791,1.167
079105117807,1.167
079105117814,1.167
079105117821,1.167
079105117838,1.167
079105117845,9.347
079105119276,9.75
079105119283,17.325
079105119900,5.403
079105119924,5.403
079105119955,6.013
079105119962,6.013
079105119979,6.013
079105119986,6.013
079105120364,11.565
079105120395,11.565
079105120449,11.565
079105120487,12.642
079105120500,12.642
079105120524,12.642
079105120548,12.642
079105311267,1.269
079105311281,1.269
079105331005,0.898
079105334006,0.898
079105335003,0.898
079105352727,0.718
079105352888,0.718
079105352901,0.718
079105352925,0.718
079105352963,0.718
079105352987,0.718
079105353007,0.718
079105353021,0.718
079105353168,1.269
079441001143,1.057
079441002010,0.596
079441002027,0.956
079441002034,0.978
079441002119,0.63
079441002126,1.316
079441002133,1.327
079441002195,1.496
079441002225,1.574
079441002263,2.531
079441002270,0.394
079441002287,3.463
079441002317,1.406
079441002324,2.586
079441002331,4.059
079441002348,6.916
079441002379,2.822
079441002386,3.823
079441002430,0.664
079441002461,1.777
079441003024,1.136
079441003031,1.147
079441003048,1.923
079441003055,2.913
079441003116,0.877
079441003123,1.147
079441003130,1.169
079441003147,2.148
079441003154,3.025
079441004007,1.653
079441004106,2.306
079441004120,2.047
079441004137,2.047
079441004175,2.159
079441004212,0.506
079441004229,2.497
079441004335,1.428
079441004410,3.587
079441004663,0.832
079441005011,5.487
079441005028,4.116
079441006216,0.776
079441006315,1.091
079441007008,3.013
079441007015,3.362
079441007022,4.678
079441008005,3.013
079441008012,2.069
079441008029,3.857
079593020016,4.521
080531220160,6.462
080531230169,7.323
080531240168,6.462
080531250082,5.6
080531250167,7.754
080531260081,3.446
080531260166,5.17
080531280164,8.616
080531280324,12.923
080531290019,5.17
080531290163,7.323
080531410400,3.877
080531410509,10.77
080531420201,3.877
080531432006,6.462
080531440605,10.77
080531460009,4.308
080531460047,2.585
080531460160,8.616
080531460405,10.77
080531475102,4.738
080531475157,7.323
080531480007,12.923
080531480083,4.308
080531480168,6.462
080531480205,2.154
080531480403,3.446
080531481004,5.17
080531481059,6.893
080531481103,21.539
080531540046,2.585
080531540084,4.308
080531540206,5.6
080531540640,15.078
080531570203,5.6
080531570647,12.923
080531600207,5.17
080531600641,15.078
080531610206,5.17
080531610640,15.078
080531620205,8.616
080531620649,21.539
080531660201,5.17
080531660645,12.923
080531670200,5.17
080531670644,12.923
080531680209,5.17
080531680643,12.923
080531690208,5.17
080531690642,12.923
080531700204,5.17
080531700648,12.923
080531750162,7.754
080531760161,7.754
080531770207,6.462
080531770641,21.539
080531780206,8.616
080531780640,21.539
080531801765,3.446
080531801772,4.738
080531802007,4.308
080531802014,6.462
080531802038,2.585
080531802045,4.308
080531802052,6.893
080531802076,2.585
080531802090,4.308
080531802106,6.893
080531802335,4.738
080531802380,3.446
080531802397,25.847
080531802564,4.738
080531802595,3.446
080531802809,18.308
080531802847,4.308
080531802854,6.893
080531803318,3.446
080531803325,4.738
080531811030,4.738
080531811047,4.738
080531833025,3.877
080531833032,6.462
080531833698,3.877
080531833704,6.462
080531868041,2.585
080531868164,8.616
080531870167,6.462
080531895009,6.462
080531970164,6.462
087535010810,2.674
087535010827,18.231
087535100023,17.959
087535103512,27.354
087535104007,22.856
087535109118,18.455
087535109415,1.492
087535109712,2.414
087535132017,4.191
087535133069,3.553
087535136121,1.868
087535136145,4.989
087535138125,2.096
087535138149,5.261
087535170125,2.437
087535180384,4.328
087535183507,18.483
087535200136,3.335
087535200709,5.389
087535220318,6.263
087535250124,3.349
087535266118,1.871
087535266125,2.176
087535300126,13.563
087535330123,2.972
087535348043,1.64
087535360212,1.464
087535360229,1.464
087535360236,1.464
087535360311,1.383
087535360328,1.383
087535360335,1.556
087535360342,1.556
087535360380,5.897
087535360410,3.264
087535360489,1.383
087535360502,1.383
087535360519,1.383
087535360526,7.788
087535360533,6.436
087535360557,2.837
087535360564,4.738
087535360571,4.738
087535360588,2.461
087535360601,1.525
087535360618,1.373
087535360632,3.508
087535360649,1.088
087535360670,1.881
087535360687,3.264
087535360694,3.264
087535360717,1.373
087535360724,1.373
087535360731,2.593
087535360748,4.057
087535360878,20.428
087535360885,3.041
087535360946,3.508
087535360953,3.508
087535361202,0.915
087535361219,0.915
087535361226,0.915
087535361233,0.915
087535361240,0.915
087535361257,0.915
087535361264,0.915
087535361271,0.915
087535361288,0.986
087535361295,0.986
087535361301,0.986
087535361318,0.986
087535361325,0.986
087535361332,0.986
087535394019,1.686
087535446114,4.419
087535446312,4.897
087535490407,4.82
087535490704,3.651
087535491305,4.24
087535592057,2.572
087535593054,2.572
087535770097,2.298
087535770172,2.461
087535770325,3.528
087535851123,1.071
087535856258,1.071
087535880420,2.45
087535880482,1.871
087535880567,2.329
087535940124,2.768
091197225031,2.66
091197226021,3.102
091197227028,2.557
091197230004,10.157
091197270000,7.117
091197270055,8.288
091197270062,9.243
091197275012,17.469
091197280009,7.662
091197290527,10.989
091197300004,2.414
091197300011,3.543
091197300028,7.333
091197300042,1.438
091197300202,3.05
091197300226,7.723
091197300233,9.387
091197310034,2.373
091197310041,2.434
091197341304,2.917
091197341328,3.081
091197341342,10.475
091197350030,2.454
091197360077,9.551
091197510182,1.325
091197520037,4.159
091197520044,10.085
091197520174,10.496
091197590092,3.194
091197660245,5.227
091197660320,4.313
091197660382,1.992
091197660405,2.414
091197660412,2.146
091197700217,2.075
091197701306,3.205
091197710001,1.52
091197712012,1.695
091197712050,1.192
091197713019,3.42
091197720215,4.036
091197720260,4.005
091197720277,2.568
091197730047,1.273
091197730054,2.095
091197780004,1.89
091197780035,1.89
092036250252,4.307
092036250450,5.105
092036250603,4.086
092036250627,4.885
092036250641,5.614
092036250665,4.086
092036250689,5.614
092036450355,11.159
094008001275,4.396
094008001282,4.396
094008001299,4.396
094008001305,4.396
094008010208,5.782
094008010246,13.3
094008010284,17.85
094008010604,6.468
094008010888,1.724
096316001046,4.34
096316001053,4.34
096316001060,4.34
096316002326,4.872
096316008779,5.002
096316016903,19.248
096316016927,20.409
096316063372,26.656
096316086241,3.982
096316086296,13.888
096316086302,13.888
096316086333,13.888
096316095052,11.479
096316096066,2.322
096316096073,2.322
096316096257,5.1
096316096264,5.1
096316096271,5.1
096316096288,5.61
096316096295,5.61
096316096868,5.1
096316098312,4.253
096316099517,3.884
096316099524,3.884
096316099531,1.15
096316099548,1.15
096316099555,1.15
096316099562,1.15
096316113015,3.744
096316113046,3.744
096316113091,3.147
096316115088,2.713
096316116467,1.248
096316116474,1.313
096316116511,1.509
096316117594,5.273
096316131200,4.058
096316131217,4.351
096316131224,4.633
096316131231,5.219
096316156098,15.472
096316156302,3.863
096316156319,3.863
096316156326,3.863
096316156333,3.863
096316156340,3.863
096316156357,3.863
096316156371,3.928
096316156395,2.094
096316156418,25.921
096316156425,5.979
096316156456,20.322
096316156463,4.015
096316280823,20.453
096316280830,16.297
096316280892,7.736
096316280908,7.736
096316530997,5.096
096316670358,7.129
096316670365,7.877
096316670594,5.1
096316670648,5.849
096316670815,16.058
096316670822,16.709
096316671096,1.096
096316671102,1.15
096316671331,3.081
096316671348,3.081
096316671355,3.331
096316671362,3.917
096316671386,2.018
096316671393,2.268
096316671409,2.854
096316671423,2.528
096316671430,2.756
096316671447,3.353
096316671454,3.081
096316671461,3.081
096316671478,3.331
096316671485,3.917
096316671492,2.886
096316671508,2.886
096316671515,3.125
096316671522,3.711
096316671539,3.418
096316671553,3.667
096316671560,4.243
096316680166,15.624
096316680173,16.015
096316680180,16.416
096316680197,16.818
096316680203,20.8
096316680227,22.058
096316680241,18.293
096316680272,5.892
096316680289,13.15
096316680296,7.693
096316680319,14.148
096316680333,7.736
096316680357,12.195
096316680364,14.42
096316685017,6.239
096316685024,10.145
096316685055,8.094
096316685062,11.881
096316685079,14.604
096316685093,9.125
096316685130,3.624
096316685147,5.002
096316685154,9.722
096316685239,2.225
096316685246,3.807
096316685260,4.85
096316685277,6.966
096316685284,9.591
096316685291,14.452
096316685352,6.239
096316685369,12.239
096316685376,11.978
096316685406,9.429
096316685512,2.778
096316685529,5.132
096316685536,9.374
096316695016,2.398
096316695030,2.148
096316695047,2.3
096316695054,2.398
096316695061,2.398
096316700017,2.04
096316700031,2.3
096316700055,3.168
096316700116,3.624
096316700130,5.219
096316700185,3.396
096316700222,1.454
096316700253,1.345
096316700390,1.574
096316700406,2.821
096316700413,5.49
096316700451,2.691
096316700468,4.622
096316700529,2.821
096316700543,1.845
096316700550,1.845
096316700574,3.136
096316700581,2.962
096316700598,3.136
096316700611,4.178
096316700628,9.006
096316700635,6.261
096316700642,5.273
096316760097,21.592
096316760127,2.637
096316760233,6.857
096316770829,22.894
097121200709,17.109
097121201720,11.601
097121202734,13.437
097121203991,8.867
097121204004,14.049
097121204479,7.684
097121204486,3.604
097121204530,5.698
097121204905,7.684
097121205254,3.604
097121205278,2.026
097121208965,7.235
097121208972,10.866
097121209016,6.786
097121209023,10.404
097121209054,4.515
097121209061,7.235
097121209078,10.866
097121209115,6.786
097121209122,10.404
097121523457,16.497
097121562654,17.109
097121943453,10.989
097612009101,1.011
097612009118,4.348
097612009125,3.994
097612009200,1.436
097612009217,1.77
097612009224,1.77
097612009231,1.77
097612009248,1.77
097612009255,1.77
097612009262,1.517
097612009286,2.387
097612009309,7.766
097612009354,1.264
097612009361,1.517
097612009378,1.264
097612009385,1.517
097612009408,0.758
097612009415,0.758
097612009491,1.517
097612009507,0.91
097612009521,2.781
097612009538,1.749
097612009606,1.032
097612009613,2.103
097612009620,0.657
097612009705,0.687
097612009804,2.983
097612009811,2.983
097612009828,2.983
097612009859,2.983
097612009873,3.994
097612009903,1.426
097612009910,1.669
097612015034,9.101
097612015188,30.083
097612023183,13.135
097612023190,1.669
097612024302,26.949
097612024715,2.528
097612024722,2.528
097612024746,3.286
097612024753,4.298
097612024760,2.275
097612024777,6.067
097612024784,5.814
097612024791,6.067
097612024807,6.067
097612024814,5.056
097612032505,6.067
097612041019,5.562
097612103526,2.68
097612103625,2.68
097612103687,6.725
097612103717,1.951
097612103748,4.186
097612104011,1.224
097612110012,5.005
097612110500,0.728
097612110517,2.235
097612110524,0.94
097612110555,1.77
097612110609,0.839
097612111002,0.728
097612113006,0.839
097612113105,0.94
097612114003,0.94
097612114102,1.011
097612117103,0.799
097612118001,0.728
097612118018,1.669
097612118100,0.758
097612118209,0.758
097612118216,1.77
097612118315,1.77
097612119084,0.839
097612120103,6.573
097612120110,11.882
097612120134,15.168
097612120141,8.444
097612133035,1.749
097612133080,3.135
097612134032,2.275
097612134087,3.994
097612134124,6.017
097612138030,1.972
097612138085,3.519
097612140026,1.365
097612180114,1.932
097612180138,1.932
097612180169,1.932
097612180237,2.811
097612180244,2.811
097612180275,2.811
097612180336,3.873
097612180343,3.873
097612180367,3.873
097612180466,6.826
097612180497,6.067
097612180527,3.994
097612200218,2.498
097612200256,13.004
097612200300,3.084
097612200829,2.7
097612200836,4.247
097612200928,3.903
097612200942,22.914
097612201819,2.195
097612210118,4.51
097612210200,2.659
097612210217,4.51
097612210231,10.567
097612210248,21.185
097612240030,1.011
097612240061,9.181
097612240078,7.766
097612240108,6.017
097612240115,3.013
097612240207,9.809
097612240214,4.803
097612240313,7.402
097612240504,2.336
097612240511,3.691
097612241013,0.698
097612241020,1.041
097612241051,1.749
097612241105,0.809
097612241204,1.052
097612241211,1.163
097612241228,1.163
097612241235,1.163
097612241242,1.163
097612241259,1.163
097612242010,1.203
097612242034,1.203
097612242041,1.203
097612242058,1.203
097612242065,1.203
097612242218,2.68
097612242225,2.68
097612242232,2.68
097612242249,2.68
097612242256,2.68
097612242263,2.68
097612242270,2.68
097612242287,2.68
097612242294,2.68
097612242300,2.68
097612242317,2.68
097612243130,7.028
097612243307,7.028
097612260007,1.163
097612260014,1.77
097612260021,2.983
097612260205,22.246
097612300031,12.741
097612300079,15.128
097612300093,12.134
097612300109,1.062
097612300154,9.556
097612300208,3.125
097612300215,4.197
097612300222,7.058
097612300246,3.681
097612300260,3.64
097612300291,3.64
097612311006,12.64
097612320107,10.618
097612321005,9.05
097612321104,8.403
097612321807,9.253
097612322002,15.765
097612322026,11.164
097612322255,29.203
097612322279,15.714
097612322286,15.714
097612322293,15.117
097612322316,27.272
097612322323,28.86
097612322330,23.278
097612322347,25.967
097612327106,8.444
097612327113,6.906
097612331509,6.725
097612340013,16.685
097612340051,13.651
097612360257,3.539
097612361001,4.005
097612361506,4.844
097612362503,6.573
097612370027,14.136
097612370058,12.64
097612370065,10.112
097612370102,12.134
097612370256,2.467
097612370607,2.467
097612370614,4.298
097612371000,2.811
097612375015,22.297
097612390254,3.721
097612390605,3.974
